published_at,sentiment_mean_BTC,sentiment_mean_MACRO,sentiment_mean_TECH,sentiment_count_BTC,sentiment_count_MACRO,sentiment_count_TECH,sentiment_std_BTC,sentiment_std_MACRO,sentiment_std_TECH,sentiment_total_mean,total_count,sentiment_mean_BTC_roll_mean,sentiment_mean_BTC_roll_std,sentiment_mean_BTC_shock,sentiment_mean_BTC_momentum,sentiment_mean_MACRO_roll_mean,sentiment_mean_MACRO_roll_std,sentiment_mean_MACRO_shock,sentiment_mean_MACRO_momentum,sentiment_mean_TECH_roll_mean,sentiment_mean_TECH_roll_std,sentiment_mean_TECH_shock,sentiment_mean_TECH_momentum,sentiment_total_mean_roll_mean,sentiment_total_mean_roll_std,sentiment_total_mean_shock,sentiment_total_mean_momentum,sentiment_mean_BTC_lag1,sentiment_mean_MACRO_lag1,sentiment_mean_TECH_lag1,sentiment_total_mean_lag1,div_btc_macro,news_ratio_btc_macro
2025-11-12 00:00:00+00:00,-0.23684575381469725,0.016075598056316365,-0.2353499999999999,5.0,4.0,1.0,,,,-0.1355276376848221,10,,,0,,,,0,,,,0,,,,0,,,,,,-0.2529213518710136,1.249999687500078
2025-11-12 01:00:00+00:00,-0.5425624231410026,0.0,0.0,4.0,,,,,,-0.5425624231410026,4,,,0,-0.3057166693263053,,,0,-0.016075598056316365,,,0,0.2353499999999999,,,0,-0.40703478545618044,-0.23684575381469725,0.016075598056316365,-0.2353499999999999,-0.1355276376848221,-0.5425624231410026,
2025-11-12 02:00:00+00:00,0.4103952872610092,-0.7977442621231079,0.0,2.0,1.0,,,,,0.007682104132970176,3,,,0,0.9529577104020117,,,0,-0.7977442621231079,,,0,0.0,,,0,0.5502445272739728,-0.5425624231410026,0.0,0.0,-0.5425624231410026,1.2081395493841172,1.9999980000020001
2025-11-12 03:00:00+00:00,0.06383605758031212,0.28998,-0.3612393260002136,3.0,1.0,1.0,,,,0.024049769348144557,5,-0.12300429656489688,0.48657168793018535,0,-0.3465592296806971,-0.2605562213555972,0.46528792115306905,0,1.0877242621231078,-0.07844999999999996,0.13587938585377837,-1,-0.3612393260002136,-0.22346931889761815,0.28546902532435847,0,0.016367665215174382,0.4103952872610092,-0.7977442621231079,0.0,0.007682104132970176,-0.22614394241968788,2.9999970000030003
2025-11-12 04:00:00+00:00,0.0,-0.013739382594426475,0.0,1.0,6.0,,,,,-0.01177661365236555,7,-0.07629420802859463,0.4081200817746699,0,-0.06383605758031212,-0.12292216601669789,0.46914933564564976,0,-0.3037193825944265,-0.14914733150005338,0.1797255010423222,0,0.3612393260002136,-0.1615895468361775,0.2639030144603561,0,-0.03582638300051011,0.06383605758031212,0.28998,-0.3612393260002136,0.024049769348144557,0.013739382594426475,0.16666663888889352
2025-11-12 05:00:00+00:00,0.0,0.7264773129463196,-0.4802636232185363,,4.0,1.0,,,,0.48512912571334843,5,-0.0610353664228757,0.3550854292935216,0,0.0,-0.1010856093322436,0.4092187683766873,1,0.7402166955407461,-0.1193178652000427,0.16933672694487362,-1,-0.4802636232185363,-0.1316269601994151,0.23816461485866164,1,0.49690573936571397,0.0,-0.013739382594426475,0.0,-0.01177661365236555,-0.7264773129463196,
2025-11-12 06:00:00+00:00,0.0,0.11063363392829897,-0.7448582397651672,,4.0,1.0,,,,-0.060464740810394255,5,-0.05086280535239642,0.3185740348327958,0,0.0,0.036841544380850265,0.4981078183503636,0,-0.6158436790180206,-0.17947549153645828,0.2113139411220021,-1,-0.2645946165466309,-0.02883427921395451,0.32981194429809807,0,-0.5455938665237426,0.0,0.7264773129463196,-0.4802636232185363,0.48512912571334843,-0.11063363392829897,
2025-11-12 07:00:00+00:00,0.2944949337911605,0.3158597684717178,0.18747,2.0,2.0,1.0,,,,0.28163588090515135,5,-0.04359669030205408,0.2914516907714093,0,0.2944949337911605,0.04738327145905722,0.4555627234384659,0,0.20522613454341884,-0.260244455569131,0.28788313071477295,0,0.9323282397651672,-0.03335291658487448,0.30131300240874476,0,0.3421006217155456,0.0,0.11063363392829897,-0.7448582397651672,-0.060464740810394255,-0.021364834680557332,0.99999950000025
2025-11-12 08:00:00+00:00,0.23620387921571726,0.9372691649913788,-0.8349945112800599,4.0,1.0,1.0,,,,0.17451502842903133,6,0.03230912221306846,0.3017431102332707,0,-0.05829105457544323,0.09020958151840028,0.46609819765103083,0,0.621409396519661,-0.19984159842627386,0.334551726307301,0,-1.0224645112800599,0.026241871785121728,0.31850030084489755,0,-0.10712085247612002,0.2944949337911605,0.3158597684717178,0.18747,0.28163588090515135,-0.7010652857756615,3.9999960000040002
2025-11-12 09:00:00+00:00,0.19630165033340452,-0.17315063322703042,0.0,4.0,3.0,,,,,0.037964957378932414,7,0.1435614511211713,0.16869580161864386,0,-0.039902228882312735,0.22410517651716869,0.5608566566655584,0,-1.1104197982184092,-0.31912652860913954,0.39484795422101704,0,0.8349945112800599,0.128681507723698,0.19733393854322553,0,-0.13655007105009892,0.23620387921571726,0.9372691649913788,-0.8349945112800599,0.17451502842903133,0.3694522835604349,1.333332888889037
2025-11-12 10:00:00+00:00,0.28056978431701657,0.295030091342926,0.0,2.0,4.0,,,,,0.2902099890009562,6,0.11297664584579918,0.12634797268539652,0,0.08426813398361205,0.31333283778803683,0.39691854964870676,0,0.4681807245699564,-0.31912652860913954,0.39484795422101704,0,0.0,0.1330076296159783,0.19455150531784787,0,0.2522450316220238,0.19630165033340452,-0.17315063322703042,0.0,0.037964957378932414,-0.014460307025909447,0.49999987500003124
