datetime_1h,sent_btc_vader,count_btc,sent_tech_vader,count_tech,sent_macro_vader,count_macro,sent_total_vader,count_total,sent_weighted_vader,btc_count,btc_pct_positive,btc_pct_negative,btc_pct_neutral,tech_count,tech_pct_positive,tech_pct_negative,tech_pct_neutral,macro_count,macro_pct_positive,macro_pct_negative,macro_pct_neutral,pct_positive_total,pct_negative_total,pct_neutral_total
2025-04-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,100.0
2025-04-03 09:00:00+00:00,0.0,0.0,0.0,0.0,0.31856666666666666,3.0,0.10618888888888889,3.0,0.3185666656047778,,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,66.66666666666666,0.0,33.33333333333333,66.66666644444443,0.0,33.33333355555557
2025-04-03 10:00:00+00:00,0.0,0.0,0.0,0.0,-0.4782,1.0,-0.15940000000000001,1.0,-0.4781999952180001,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,99.99999900000002,9.99999983264388e-07
2025-04-03 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,100.0
2025-04-04 16:00:00+00:00,0.0,0.0,0.0,0.0,-0.3147,2.0,-0.1049,2.0,-0.3146999984265,,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,100.0,0.0,0.0,99.9999995,4.999999987376214e-07
2025-04-05 14:00:00+00:00,0.0,0.0,0.0,0.0,-0.0516,1.0,-0.0172,1.0,-0.05159999948400001,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,99.99999900000002,9.99999983264388e-07
2025-04-05 18:00:00+00:00,0.0,0.0,0.0,0.0,-0.0772,1.0,-0.025733333333333334,1.0,-0.07719999922800001,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,99.99999900000002,9.99999983264388e-07
2025-04-06 15:00:00+00:00,0.0,0.0,0.0,0.0,-0.8074,1.0,-0.26913333333333334,1.0,-0.8073999919260001,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,99.99999900000002,9.99999983264388e-07
2025-04-07 12:00:00+00:00,0.0,0.0,0.0,0.0,-0.4939,1.0,-0.16463333333333333,1.0,-0.4938999950610001,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,99.99999900000002,9.99999983264388e-07
2025-04-07 20:00:00+00:00,0.0,0.0,0.0,0.0,-0.926,1.0,-0.3086666666666667,1.0,-0.9259999907400002,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,99.99999900000002,9.99999983264388e-07
2025-04-08 14:00:00+00:00,0.0,0.0,0.0,0.0,-0.0258,1.0,-0.0086,1.0,-0.025799999742000004,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,100.0
2025-04-08 19:00:00+00:00,0.0,0.0,0.0,0.0,0.4019,1.0,0.13396666666666665,1.0,0.40189999598100007,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,100.0,0.0,0.0,99.99999900000002,0.0,9.99999983264388e-07
2025-04-09 09:00:00+00:00,0.0,0.0,0.0,0.0,-0.7717,1.0,-0.25723333333333337,1.0,-0.7716999922830001,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,99.99999900000002,9.99999983264388e-07
2025-04-09 12:00:00+00:00,0.0,0.0,0.0,0.0,-0.6267,1.0,-0.2089,1.0,-0.6266999937330001,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,99.99999900000002,9.99999983264388e-07
2025-04-09 19:00:00+00:00,0.0,0.0,0.0,0.0,-0.743,1.0,-0.24766666666666667,1.0,-0.7429999925700002,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,99.99999900000002,9.99999983264388e-07
2025-04-10 09:00:00+00:00,0.0,0.0,0.0,0.0,-0.8834,1.0,-0.29446666666666665,1.0,-0.8833999911660001,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,99.99999900000002,9.99999983264388e-07
2025-04-10 10:00:00+00:00,0.0,0.0,0.0,0.0,-0.6210333333333333,3.0,-0.20701111111111112,3.0,-0.6210333312632222,,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,100.0,0.0,0.0,99.99999966666667,3.3333333249174757e-07
2025-04-11 14:00:00+00:00,0.0,0.0,0.0,0.0,-0.3612,1.0,-0.12040000000000001,1.0,-0.3611999963880001,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,99.99999900000002,9.99999983264388e-07
2025-04-13 13:00:00+00:00,0.0,0.0,0.0,0.0,-0.7351,1.0,-0.24503333333333333,1.0,-0.7350999926490001,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,99.99999900000002,9.99999983264388e-07
2025-04-14 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0258,1.0,0.0086,1.0,0.025799999742000004,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,100.0
2025-04-16 12:00:00+00:00,0.0,0.0,0.0,0.0,-0.277625,4.0,-0.09254166666666667,4.0,-0.27762499930593754,,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,25.0,75.0,0.0,24.9999999375,74.99999981250001,2.4999998515795596e-07
2025-04-16 13:00:00+00:00,0.0,0.0,0.0,0.0,-0.26785000000000003,2.0,-0.08928333333333334,2.0,-0.26784999866075004,,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,100.0,0.0,0.0,99.9999995,4.999999987376214e-07
2025-04-20 16:00:00+00:00,0.0,0.0,0.0,0.0,0.2732,1.0,0.09106666666666667,1.0,0.27319999726800004,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,100.0,0.0,0.0,99.99999900000002,0.0,9.99999983264388e-07
2025-04-21 15:00:00+00:00,0.0,0.0,0.0,0.0,0.6369,1.0,0.21230000000000002,1.0,0.6368999936310001,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,100.0,0.0,0.0,99.99999900000002,0.0,9.99999983264388e-07
2025-04-22 13:00:00+00:00,0.0,0.0,0.0,0.0,-0.4019,1.0,-0.13396666666666665,1.0,-0.40189999598100007,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,99.99999900000002,9.99999983264388e-07
2025-04-23 14:00:00+00:00,0.0,0.0,0.0,0.0,-0.743,1.0,-0.24766666666666667,1.0,-0.7429999925700002,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,99.99999900000002,9.99999983264388e-07
2025-04-23 18:00:00+00:00,0.0,0.0,0.0,0.0,-0.6766,1.0,-0.22553333333333334,1.0,-0.6765999932340001,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,99.99999900000002,9.99999983264388e-07
2025-04-24 09:00:00+00:00,0.0,0.0,0.0,0.0,-0.6652,1.0,-0.22173333333333334,1.0,-0.6651999933480002,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,99.99999900000002,9.99999983264388e-07
2025-04-24 10:00:00+00:00,0.0,0.0,0.0,0.0,0.22293333333333332,3.0,0.0743111111111111,3.0,0.22293333259022222,,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,66.66666666666666,33.33333333333333,0.0,66.66666644444443,33.333333222222215,3.3333335380802964e-07
2025-04-24 11:00:00+00:00,0.0,0.0,0.0,0.0,-0.34,1.0,-0.11333333333333334,1.0,-0.3399999966000001,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,99.99999900000002,9.99999983264388e-07
2025-04-27 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,100.0
2025-04-29 20:00:00+00:00,0.0,0.0,0.0,0.0,-0.3818,1.0,-0.12726666666666667,1.0,-0.38179999618200006,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,99.99999900000002,9.99999983264388e-07
2025-04-30 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,100.0
2025-05-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.098,4.0,0.03266666666666667,4.0,0.09799999975500001,,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,75.0,25.0,0.0,74.99999981250001,24.9999999375,2.499999922633833e-07
2025-05-01 12:00:00+00:00,0.0,0.0,0.0,0.0,-0.8074,1.0,-0.26913333333333334,1.0,-0.8073999919260001,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,99.99999900000002,9.99999983264388e-07
2025-05-04 01:00:00+00:00,0.0,0.0,0.0,0.0,0.6369,1.0,0.21230000000000002,1.0,0.6368999936310001,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,100.0,0.0,0.0,99.99999900000002,0.0,9.99999983264388e-07
