datetime_1h,sent_btc_vader,count_btc,sent_tech_vader,count_tech,sent_macro_vader,count_macro,sent_total_vader,count_total,sent_weighted_vader
2025-04-20 16:00:00+00:00,0.0,0.0,0.0,0.0,0.2732,1.0,0.09106666666666667,1.0,0.27319999726800004
2025-04-21 15:00:00+00:00,0.0,0.0,0.0,0.0,0.6369,1.0,0.21230000000000002,1.0,0.6368999936310001
2025-04-22 13:00:00+00:00,0.0,0.0,0.0,0.0,-0.4019,1.0,-0.13396666666666665,1.0,-0.40189999598100007
2025-04-23 14:00:00+00:00,0.0,0.0,0.0,0.0,-0.743,1.0,-0.24766666666666667,1.0,-0.7429999925700002
2025-04-23 18:00:00+00:00,0.0,0.0,0.0,0.0,-0.6766,1.0,-0.22553333333333334,1.0,-0.6765999932340001
2025-04-24 09:00:00+00:00,0.0,0.0,0.0,0.0,-0.6652,1.0,-0.22173333333333334,1.0,-0.6651999933480002
2025-04-24 10:00:00+00:00,0.0,0.0,0.0,0.0,0.22293333333333332,3.0,0.0743111111111111,3.0,0.22293333259022222
2025-04-24 11:00:00+00:00,0.0,0.0,0.0,0.0,-0.34,1.0,-0.11333333333333334,1.0,-0.3399999966000001
2025-04-27 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2025-04-29 20:00:00+00:00,0.0,0.0,0.0,0.0,-0.3818,1.0,-0.12726666666666667,1.0,-0.38179999618200006
2025-04-30 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2025-05-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.098,4.0,0.03266666666666667,4.0,0.09799999975500001
2025-05-01 12:00:00+00:00,0.0,0.0,0.0,0.0,-0.8074,1.0,-0.26913333333333334,1.0,-0.8073999919260001
2025-05-04 01:00:00+00:00,0.0,0.0,0.0,0.0,0.6369,1.0,0.21230000000000002,1.0,0.6368999936310001
2025-05-06 18:00:00+00:00,0.0,0.0,0.0,0.0,0.25,1.0,0.08333333333333333,1.0,0.24999999750000004
2025-05-07 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2025-05-08 09:00:00+00:00,0.0,0.0,0.0,0.0,-0.30455999999999994,5.0,-0.10151999999999999,5.0,-0.30455999939087997
2025-05-08 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2025-05-12 15:00:00+00:00,0.0,0.0,0.0,0.0,0.1779,1.0,0.0593,1.0,0.17789999822100003
2025-05-13 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2025-05-14 19:00:00+00:00,0.0,0.0,0.0,0.0,-0.0258,1.0,-0.0086,1.0,-0.025799999742000004
2025-05-15 09:00:00+00:00,0.0,0.0,0.0,0.0,0.25816666666666666,3.0,0.08605555555555555,3.0,0.2581666658061111
2025-05-15 10:00:00+00:00,0.0,0.0,0.0,0.0,0.296,1.0,0.09866666666666667,1.0,0.29599999704
2025-05-18 12:00:00+00:00,0.0,0.0,0.0,0.0,0.2263,1.0,0.07543333333333334,1.0,0.22629999773700005
2025-05-22 09:00:00+00:00,0.0,0.0,0.0,0.0,-0.2817,3.0,-0.0939,3.0,-0.281699999061
2025-05-22 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0129,2.0,0.0043,2.0,0.012899999935500001
2025-05-23 18:00:00+00:00,0.0,0.0,0.0,0.0,-0.6124,1.0,-0.20413333333333336,1.0,-0.6123999938760002
2025-05-25 14:00:00+00:00,0.0,0.0,0.0,0.0,-0.7783,1.0,-0.25943333333333335,1.0,-0.7782999922170001
2025-05-26 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
