published_at,sentiment_mean_BTC,sentiment_mean_MACRO,sentiment_mean_TECH,sentiment_count_BTC,sentiment_count_MACRO,sentiment_count_TECH,sentiment_std_BTC,sentiment_std_MACRO,sentiment_std_TECH,sentiment_total,total_count,sentiment_mean_BTC_roll_mean,sentiment_mean_BTC_roll_std,sentiment_mean_MACRO_roll_mean,sentiment_mean_MACRO_roll_std,sentiment_mean_TECH_roll_mean,sentiment_mean_TECH_roll_std,sentiment_total_roll_mean,sentiment_total_roll_std,sentiment_mean_BTC_lag1,sentiment_mean_MACRO_lag1,sentiment_mean_TECH_lag1,sentiment_total_lag1,sentiment_mean_BTC_shock,sentiment_mean_MACRO_shock,sentiment_mean_TECH_shock,sentiment_total_shock,div_btc_macro
2020-07-02 00:00:00+00:00,0.24869846437096593,0.0,0.0,20.0,0.0,0.0,0.36027632320021025,0.0,0.0,0.24869846437096593,20,0.24869846437096593,,0.0,,0.0,,0.24869846437096593,,,,,,0,0,0,0,0.24869846437096593
2020-07-03 00:00:00+00:00,0.12635566137101917,0.0,0.0,9.0,0.0,0.0,0.5421729664896177,0.0,0.0,0.12635566137101917,9,0.18752706287099255,0.08650942563063224,0.0,0.0,0.0,0.0,0.18752706287099255,0.08650942563063224,0.24869846437096593,0.0,0.0,0.24869846437096593,0,0,0,0,0.12635566137101917
2020-07-04 00:00:00+00:00,0.3491316963672638,0.0,0.0,5.0,0.0,0.0,0.1515090710591102,0.0,0.0,0.3491316963672638,5,0.24139527403641634,0.11156743648555792,0.0,0.0,0.0,0.0,0.24139527403641634,0.11156743648555792,0.12635566137101917,0.0,0.0,0.12635566137101917,0,0,0,0,0.3491316963672638
2020-07-05 00:00:00+00:00,-0.0071843035459518605,0.0,0.0,6.0,0.0,0.0,0.5468183989017724,0.0,0.0,-0.0071843035459518605,6,0.17925037964082427,0.1540978483098639,0.0,0.0,0.0,0.0,0.17925037964082427,0.1540978483098639,0.3491316963672638,0.0,0.0,0.3491316963672638,0,0,0,0,-0.0071843035459518605
2020-07-06 00:00:00+00:00,0.27095073167681694,0.0,0.0,8.0,0.0,0.0,0.379932727891625,0.0,0.0,0.27095073167681694,8,0.1975904500480228,0.13961160787342278,0.0,0.0,0.0,0.0,0.1975904500480228,0.13961160787342278,-0.0071843035459518605,0.0,0.0,-0.0071843035459518605,0,0,0,0,0.27095073167681694
2020-07-07 00:00:00+00:00,0.3833210440921783,0.0,0.0,10.0,0.0,0.0,0.2542001648273244,0.0,0.0,0.3833210440921783,10,0.22854554905538205,0.1460904848706252,0.0,0.0,0.0,0.0,0.22854554905538205,0.1460904848706252,0.27095073167681694,0.0,0.0,0.27095073167681694,0,0,0,0,0.3833210440921783
2020-07-08 00:00:00+00:00,0.3635505376485678,0.0,0.0,13.0,0.0,0.0,0.29241260763684995,0.0,0.0,0.3635505376485678,13,0.24783197599726575,0.14279048284370224,0.0,0.0,0.0,0.0,0.24783197599726575,0.14279048284370224,0.3833210440921783,0.0,0.0,0.3833210440921783,0,0,0,0,0.3635505376485678
2020-07-09 00:00:00+00:00,0.20571215885969307,0.0,0.0,13.0,0.0,0.0,0.48668143273495756,0.0,0.0,0.20571215885969307,13,0.24169107520994104,0.14366864973534774,0.0,0.0,0.0,0.0,0.24169107520994104,0.14366864973534774,0.3635505376485678,0.0,0.0,0.3635505376485678,0,0,0,0,0.20571215885969307
2020-07-10 00:00:00+00:00,-0.08873649638493857,0.0,0.0,9.0,0.0,0.0,0.5922467246953375,0.0,0.0,-0.08873649638493857,9,0.21096362410194708,0.18846528156144263,0.0,0.0,0.0,0.0,0.21096362410194708,0.18846528156144263,0.20571215885969307,0.0,0.0,0.20571215885969307,0,0,0,0,-0.08873649638493857
2020-07-11 00:00:00+00:00,0.48753823418140413,0.0,0.0,10.0,0.0,0.0,0.16195195248999383,0.0,0.0,0.48753823418140413,10,0.23073598664682424,0.21125870736573618,0.0,0.0,0.0,0.0,0.23073598664682424,0.21125870736573618,-0.08873649638493857,0.0,0.0,-0.08873649638493857,0,0,0,0,0.48753823418140413
2020-07-12 00:00:00+00:00,0.28197880124568936,0.0,0.0,10.0,0.0,0.0,0.4203784750042616,0.0,0.0,0.28197880124568936,10,0.27204500161705875,0.18341944969794055,0.0,0.0,0.0,0.0,0.27204500161705875,0.18341944969794055,0.48753823418140413,0.0,0.0,0.48753823418140413,0,0,0,0,0.28197880124568936
2020-07-13 00:00:00+00:00,0.38338415294647216,0.0,0.0,10.0,0.0,0.0,0.1387172852779951,0.0,0.0,0.38338415294647216,10,0.2881069189412952,0.1881690197845675,0.0,0.0,0.0,0.0,0.2881069189412952,0.1881690197845675,0.28197880124568936,0.0,0.0,0.28197880124568936,0,0,0,0,0.38338415294647216
2020-07-14 00:00:00+00:00,0.25838033707692076,0.0,0.0,13.0,0.0,0.0,0.33928288564727327,0.0,0.0,0.25838033707692076,13,0.27025824651054414,0.1834999520110833,0.0,0.0,0.0,0.0,0.27025824651054414,0.1834999520110833,0.38338415294647216,0.0,0.0,0.38338415294647216,0,0,0,0,0.25838033707692076
2020-07-15 00:00:00+00:00,0.318006950638511,0.0,0.0,11.0,0.0,0.0,0.34308764997181357,0.0,0.0,0.318006950638511,11,0.26375201979482166,0.1804224508323003,0.0,0.0,0.0,0.0,0.26375201979482166,0.1804224508323003,0.25838033707692076,0.0,0.0,0.25838033707692076,0,0,0,0,0.318006950638511
