datetime,open,high,low,close,ret_1,ret_2,ret_7,ret_14,ret_30,close_lag_1,close_lag_2,close_lag_3,std_7,std_14,mom_sma30,range_norm,dayofweek,future_return,target_up
2015-03-10 00:00:00+00:00,237.77,239.86,236.3,238.95,0.0513463569165786,-0.1479157008879221,-0.149644128113879,-0.0612477410230218,0.0529678755563389,227.28,280.43,255.92,0.1169950460216778,0.2123599592816394,-0.0844804201287869,0.0148985143335425,1,0.6909813768570832,1
2015-03-11 00:00:00+00:00,361.73,420.77,360.4,404.06,0.6909813768570832,0.7778071101724744,0.5895983319564106,0.4312128081609521,0.5640628628938609,238.95,227.28,280.43,0.285384879854887,0.2786312780388703,0.5198415186127863,0.1494085036875711,2,-0.10552888184923026,0
2015-03-12 00:00:00+00:00,359.11,370.53,356.21,361.42,-0.1055288818492302,0.5125340029294834,0.5122175732217573,0.5770137010210314,0.4650776277919657,404.06,238.95,227.28,0.2900209076591039,0.273860640870659,0.3401759857016253,0.0396214929998339,3,-0.3719218637596149,0
2015-04-02 00:00:00+00:00,227.75,231.0,220.02,227.0,-0.3719218637596149,-0.4382022471910112,0.0121728273955499,-0.0452958741641081,-0.0173160173160172,361.42,404.06,238.95,0.3368075961029741,0.2976484244157454,-0.1578483953982165,0.0483700440528633,3,0.1928634361233479,1
2015-04-03 00:00:00+00:00,281.03,283.88,264.94,270.78,0.1928634361233479,-0.250788556250346,0.0580650203188495,-0.2504567347616675,0.2114894188179499,227.0,361.42,404.06,0.3398328375685232,0.2680086352806782,-0.0012663363536891,0.0699460816899327,4,-0.06307703670876719,0
2015-04-04 00:00:00+00:00,254.19,255.85,250.76,253.7,-0.0630770367087671,0.1176211453744493,-0.0953179046464358,-0.2930981637827746,-0.01521620992159,270.78,227.0,361.42,0.341720972995275,0.2687130153394825,-0.063812304884019,0.0200630666141111,5,-0.06054394954670861,0
2015-04-05 00:00:00+00:00,239.73,242.2,236.07,238.34,-0.0605439495467086,-0.1198020533274243,0.0486624428018303,0.0453967279266633,-0.149362932295942,253.7,270.78,227.0,0.33127192890719,0.2478630590593039,-0.1159419035525777,0.0257195602920197,6,-0.06440379290089782,0
2015-04-06 00:00:00+00:00,224.8,225.98,222.0,222.99,-0.0644037929008978,-0.1210484824595978,-0.0667922159447582,-0.20644128113879,-0.0218020705386909,238.34,253.7,270.78,0.333939553664709,0.2416779018967151,-0.1723700228629116,0.0178483340060091,0,0.1668684694380913,1
2015-04-07 00:00:00+00:00,256.06,261.28,254.05,260.2,0.1668684694380913,0.0917177141898129,-0.3560362322427363,0.0236437310673118,0.0971958675943494,222.99,238.34,253.7,0.1883885938901337,0.2432753928577002,-0.0370108104973964,0.0277863182167561,1,0.09531129900076873,1
2015-04-08 00:00:00+00:00,280.41,285.88,280.41,285.0,0.0953112990007687,0.2780842190232746,-0.211443749654142,0.1924686192468618,-0.1251764994781753,260.2,222.99,238.34,0.1926445491873637,0.2426047344198037,0.0601061594027696,0.0191929824561402,2,-0.19115789473684208,0
