datetime,sentiment_mean_BTC,sentiment_mean_MACRO,sentiment_mean_TECH,sentiment_count_BTC,sentiment_count_MACRO,sentiment_count_TECH,sentiment_std_BTC,fear_greed_index,target_up,sentiment_total_mean,sentiment_mean_BTC_roll_mean
2025-11-12 00:00:00+00:00,-0.0762942080285946,-0.12292216601669789,-0.14914733150005338,14.0,6.0,2.0,0.0,24.0,0.0,-0.11612123518178197,
2025-11-12 04:00:00+00:00,0.07362373344779012,0.2848078331879775,-0.25941296574592587,3.0,16.0,3.0,0.0,24.0,1.0,0.033006200296613906,
2025-11-12 08:00:00+00:00,0.1037254519463777,0.3137526252611478,-0.2175514640134573,15.0,12.0,5.0,0.0,24.0,1.0,0.06664220439802274,
2025-11-12 12:00:00+00:00,0.08673403946128155,0.0693383833940824,0.20389926505684852,23.0,9.0,8.0,0.0,24.0,0.0,0.11999056263740415,
2025-11-12 16:00:00+00:00,0.030387260387534185,0.15960068669319147,0.13317436688282092,21.0,7.0,20.0,0.0,24.0,1.0,0.10772077132118218,
2025-11-12 20:00:00+00:00,-0.04891409905268748,-0.10308386129379271,0.07547552318493522,21.0,7.0,7.0,0.0,24.0,1.0,-0.025507479053848325,
2025-11-13 00:00:00+00:00,0.15253253237644832,0.14466907180190083,-0.02718,7.0,4.0,2.0,0.0,15.0,0.0,0.09000720139278306,0.0459706729340214
2025-11-13 04:00:00+00:00,0.18477441174030304,-0.14590239190836746,-0.008272499999999995,5.0,14.0,2.0,0.0,15.0,1.0,0.01019983994397853,0.08326619004386392
2025-11-13 08:00:00+00:00,0.22265367477485107,0.016197890032927195,-0.03388499999999997,10.0,12.0,2.0,0.0,15.0,1.0,0.06832218826925943,0.10455618166201548
2025-11-13 12:00:00+00:00,0.17717790491604568,0.15493034146666523,0.01653379223465915,29.0,16.0,6.0,0.0,15.0,0.0,0.1162140128724567,0.11504938922911091
2025-11-13 16:00:00+00:00,0.04012221785487727,-0.11836442343132836,-0.13802586464484534,27.0,12.0,12.0,0.0,15.0,0.0,-0.07208935674043214,0.10839055757105316
2025-11-13 20:00:00+00:00,-0.10319282321248735,-0.338093143223524,-0.1847942343740662,19.0,6.0,14.0,0.0,15.0,0.0,-0.20869340027002584,0.08930768848533578
2025-11-14 00:00:00+00:00,0.13096489800532657,-0.350525052314043,-0.0015575841784477226,13.0,11.0,5.0,0.0,16.0,0.0,-0.07370591282905473,0.11500468806505208
2025-11-14 04:00:00+00:00,0.28509056570076935,-0.6055752502675851,0.023459056956768032,10.0,8.0,3.0,0.0,16.0,1.0,-0.09900854253668256,0.1339415499685265
2025-11-14 08:00:00+00:00,0.052746181782086676,0.08334097677230831,0.08677649999999998,9.0,10.0,7.0,0.0,16.0,0.0,0.07428788618479833,0.1150803742602099
2025-11-14 12:00:00+00:00,-0.16762564087023812,-0.11559980552792554,0.0004321023786068197,21.0,17.0,6.0,0.0,16.0,1.0,-0.09426444800651895,0.05932618631091143
2025-11-14 16:00:00+00:00,-0.0024064037700494735,-0.18659684546947483,-0.16817885434190433,33.0,13.0,13.0,0.0,16.0,0.0,-0.11906070119380956,0.0336712850700407
2025-11-14 20:00:00+00:00,-0.09750195815165834,-0.5570086597048441,-0.017613548559082832,8.0,9.0,6.0,0.0,16.0,0.0,-0.22404138880519509,0.01401068849767847
2025-11-15 00:00:00+00:00,0.11808333333333325,0.0,0.0,7.0,0.0,0.0,0.0,10.0,0.0,0.03936111111111108,0.045621568004224275
2025-11-15 04:00:00+00:00,0.09218449969947334,-0.08444336877385772,-0.043942499999999975,10.0,6.0,1.0,0.0,10.0,0.0,-0.012067123024794783,0.0400815111033881
2025-11-15 08:00:00+00:00,0.1316340974816254,0.3617060755264758,-0.04172481658577917,19.0,4.0,2.0,0.0,10.0,1.0,0.15053845214077402,0.01815915850065325
2025-11-15 12:00:00+00:00,-0.07725523065253098,-0.06969612348079678,0.23485233751217527,27.0,3.0,5.0,0.0,10.0,0.0,0.029300327792949166,-0.0004124718471492729
2025-11-15 16:00:00+00:00,0.13143615520119667,0.0,0.17731686199665067,18.0,0.0,3.0,0.0,10.0,0.0,0.10291767239928244,0.04231064187734141
2025-11-15 20:00:00+00:00,-0.005644674652258555,-0.022360722374916073,-0.15475858861446382,14.0,3.0,2.0,0.0,10.0,0.0,-0.06092132854721282,0.04184803175131154
2025-11-16 00:00:00+00:00,0.011702267368435854,0.0,0.09768749999999998,8.0,0.0,2.0,0.0,10.0,0.0,0.036463255789478614,0.05744863539703928
2025-11-16 04:00:00+00:00,0.084225,0.5709082837700843,0.038295,2.0,3.0,1.0,0.0,10.0,1.0,0.23114276125669475,0.05261173063513453
2025-11-16 08:00:00+00:00,0.09311604094584777,0.24669094824552534,0.2463081284570694,9.0,3.0,2.0,0.0,10.0,1.0,0.19537170588281416,0.05274480795604517
2025-11-16 12:00:00+00:00,0.18864965860197938,-0.18097831804156303,0.07814999999999997,18.0,3.0,2.0,0.0,10.0,0.0,0.028607113520138772,0.06088988811609573
2025-11-16 16:00:00+00:00,0.22661850501124062,-0.05775340102672582,0.1130775,23.0,3.0,2.0,0.0,10.0,1.0,0.09398086799483825,0.10430042178234882
2025-11-16 20:00:00+00:00,0.06548600773580368,0.0,0.09221249999999998,35.0,1.0,2.0,0.0,10.0,1.0,0.052566169245267885,0.09487897214443554
2025-11-17 00:00:00+00:00,0.13632825062195464,0.4110888655266761,-0.0847942827630043,10.0,12.0,3.0,0.0,14.0,0.0,0.15420761112854217,0.11516081861218028
2025-11-17 04:00:00+00:00,-0.41680126394271844,-0.389800222915411,-0.0151725,3.0,10.0,1.0,0.0,14.0,0.0,-0.2739246622860432,0.05394602842487252
2025-11-17 08:00:00+00:00,-0.004193980511625589,0.4555414856958389,0.21341879473010697,17.0,6.0,6.0,0.0,14.0,0.0,0.22158876663810675,0.0413147454946403
2025-11-17 12:00:00+00:00,-0.09077333063675294,0.17236391558448472,0.006069788245310372,28.0,10.0,12.0,0.0,14.0,1.0,0.02922012439768072,0.015044835268554475
2025-11-17 16:00:00+00:00,-0.15903861754131315,0.10242625044345857,-0.10146150968790049,16.0,6.0,9.0,0.0,14.0,1.0,-0.052691292261918356,-0.034624918466201596
