datetime_4h,sent_btc_finbert,count_btc,sent_tech_finbert,count_tech,sent_macro_finbert,count_macro,sent_total_finbert,count_total,sent_weighted_finbert
2025-11-12 00:00:00,-0.21487241983413696,14,-0.2580280900001526,2.0,0.012407898902893066,7.0,-0.15349753697713217,23.0,-0.1494528158201497
2025-11-12 04:00:00,0.18457136551539102,3,-0.6041770776112875,3.0,0.2567363418638706,16.0,-0.05428979007734195,22.0,0.12949837873814804
2025-11-12 08:00:00,-0.02096659317612648,16,-0.32498568296432495,5.0,0.2756078839302063,13.0,-0.02344813073674838,34.0,0.04772084073458309
2025-11-12 12:00:00,0.023511793464422226,24,0.22847669571638107,8.0,0.028506444560156927,9.0,0.09349831124698675,41.0,0.06460133193347758
2025-11-12 16:00:00,-0.053651128496442525,21,0.002725359797477722,20.0,0.06877321004867554,7.0,0.005949147116570244,48.0,-0.012307375666915333
2025-11-12 20:00:00,-0.043809646651858374,21,-0.0760579024042402,7.0,-0.19450248990740096,7.0,-0.10479001298783318,35.0,-0.08039786643047243
2025-11-13 00:00:00,0.13124701806477138,7,0.0,2.0,0.029898300766944885,4.0,0.05371510627723875,13.0,0.0798709483632669
2025-11-13 04:00:00,0.22650065422058105,5,0.0,2.0,-0.14607213536898295,15.0,0.026809506283866035,22.0,-0.0481172163159394
2025-11-13 08:00:00,0.15349113941192627,10,0.0,2.0,-0.14207560320695242,12.0,0.0038051787349912825,24.0,-0.007083160178888944
2025-11-13 12:00:00,0.12324837363999465,29,-0.13959277669588724,6.0,0.10272889998224047,18.0,0.028794832308782627,53.0,0.08652389385282284
2025-11-13 16:00:00,-0.037715514500935875,27,-0.1279699852069219,12.0,0.03226687014102936,12.0,-0.04447287652227614,51.0,-0.04248541709590441
2025-11-13 20:00:00,-0.21577221155166626,21,-0.2769324858983358,15.0,-0.6473682150244713,8.0,-0.38002430415815774,44.0,-0.3150943056387467
2025-11-14 00:00:00,-0.05353829264640808,14,-0.10553162097930908,5.0,-0.5501385276967828,11.0,-0.23640281377416664,30.0,-0.2442906001389321
2025-11-14 04:00:00,-0.06720930337905884,11,0.07245534658432007,3.0,-0.7043449953198433,8.0,-0.23303298403819403,22.0,-0.27984982987167883
2025-11-14 08:00:00,-0.02499198251300388,9,0.0,7.0,-0.11781173348426818,10.0,-0.047601238665757356,26.0,-0.05396327603538784
2025-11-14 12:00:00,-0.17782088301398538,22,-0.1497055192788442,6.0,-0.08813227274838616,17.0,-0.13855289168040524,45.0,-0.14018980394003133
2025-11-14 16:00:00,-0.08119041991956306,33,-0.012203229325158256,14.0,-0.2790667781463036,13.0,-0.1241534757970083,60.0,-0.10796661971200129
2025-11-14 20:00:00,-0.2787095531821251,8,-0.16446474691232046,6.0,-0.47389746374554104,9.0,-0.3056905879466622,23.0,-0.32528443814730207
2025-11-15 00:00:00,0.0,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0
2025-11-15 04:00:00,-0.07063548131422563,11,0.0,1.0,-0.12202206254005432,6.0,-0.06421918128476,18.0,-0.08384014826991146
2025-11-15 08:00:00,0.10406460416944403,19,-0.21738466620445251,2.0,0.4409249424934387,4.0,0.10920162681947675,25.0,0.13224631661847294
2025-11-15 12:00:00,-0.13434099047272294,27,0.25730515718460084,5.0,-0.3968103528022766,4.0,-0.0912820620301329,36.0,-0.109108954637737
2025-11-15 16:00:00,-0.04733248551686605,18,0.25712674856185913,4.0,0.0,1.0,0.06993142101499769,23.0,0.007674880646395602
2025-11-15 20:00:00,-0.03484311501185099,15,-0.424124538898468,2.0,-0.2723352462053299,4.0,-0.24376763337188298,21.0,-0.11715413269640376
2025-11-16 00:00:00,-0.14110501110553741,8,0.0,2.0,0.0,0.0,-0.0470350037018458,10.0,-0.11288400877154592
2025-11-16 04:00:00,0.0,2,0.0,1.0,0.8263729214668274,3.0,0.27545764048894245,6.0,0.4131864600447696
2025-11-16 08:00:00,0.048771030373043485,9,0.4639732241630554,2.0,0.3726303776105245,3.0,0.2951248773822078,14.0,0.17748406091001678
2025-11-16 12:00:00,0.07337164878845215,19,0.0,2.0,-0.5916563123464584,4.0,-0.17276155451933542,25.0,-0.03890255688064869
2025-11-16 16:00:00,-0.08259437481562297,24,0.0,2.0,-0.17199933528900146,3.0,-0.08486457003487481,29.0,-0.08614700002001674
2025-11-16 20:00:00,0.06033422691481454,35,0.0,2.0,0.0,1.0,0.020111408971604846,38.0,0.05557099845954734
2025-11-17 00:00:00,0.05454673171043396,10,-0.2487909197807312,4.0,0.16274412320210382,13.0,-0.010500021622731143,27.0,0.06170286070339763
2025-11-17 04:00:00,-0.6360214551289877,3,0.0,1.0,-0.5226293422959067,11.0,-0.38621693247496475,15.0,-0.5104658083691519
2025-11-17 08:00:00,-0.15345687005254957,18,0.3758098582426707,6.0,0.3671073913574219,7.0,0.19648679318251436,31.0,0.0665286202369935
2025-11-17 12:00:00,-0.19291705744607107,28,-0.11631452292203903,12.0,0.23535007238388062,10.0,-0.024627169328076497,50.0,-0.08887902317653724
2025-11-17 16:00:00,-0.2243831790983677,16,-0.20806828472349378,9.0,0.08816190560658772,6.0,-0.11476318607175794,31.0,-0.15915399976949227
2025-11-17 20:00:00,0.06827046757652647,21,0.11177666982014973,12.0,-0.46694624423980713,6.0,-0.09563303561437697,39.0,-0.0006840412431576877
2025-11-18 00:00:00,-0.32494238018989563,10,0.0,2.0,-0.16948720812797546,10.0,-0.1648098627726237,22.0,-0.2247407218605138
