datetime_4h,sent_btc,count_btc,sent_tech,count_tech,sent_macro,count_macro,sent_total,count_total,sent_weighted
2025-11-12 00:00:00,-0.0813142857142857,14,-0.39225,2.0,0.2371142857142857,7.0,-0.07881666666666666,23.0,-0.011439130429809069
2025-11-12 04:00:00,0.22376666666666667,3,0.2568,3.0,0.212975,16.0,0.23118055555555553,22.0,0.22042272717253508
2025-11-12 08:00:00,0.2474,16,0.10773999999999999,5.0,0.1622,13.0,0.17244666666666666,34.0,0.19428529406050432
2025-11-12 12:00:00,0.3618958333333333,24,0.41845,8.0,0.24165555555555557,9.0,0.3406671296296296,41.0,0.3465365852813325
2025-11-12 16:00:00,0.31115714285714285,21,0.369775,20.0,0.05787142857142857,7.0,0.24626785714285715,48.0,0.29864374993778253
2025-11-12 20:00:00,0.059028571428571416,21,0.4717571428571429,7.0,0.22765714285714284,7.0,0.2528142857142857,35.0,0.1752999999499143
2025-11-13 00:00:00,0.44857142857142857,7,-0.18120000000000003,2.0,0.49107500000000004,4.0,0.2528154761904762,13.0,0.36476153818095264
2025-11-13 04:00:00,0.15804,5,-0.05514999999999998,2.0,0.22131333333333333,15.0,0.1080677777777778,22.0,0.18179999991736362
2025-11-13 08:00:00,0.51264,10,-0.2259,2.0,0.17775833333333335,12.0,0.1548327777777778,24.0,0.2836541665484774
2025-11-13 12:00:00,0.35966551724137935,29,0.4004833333333333,6.0,0.4709722222222222,18.0,0.41037369093231163,53.0,0.40208867916941726
2025-11-13 16:00:00,0.2202,27,-0.14251666666666665,12.0,-0.030675000000000004,12.0,0.015669444444444448,51.0,0.0758254901812107
2025-11-13 20:00:00,0.1034047619047619,21,-0.15449333333333334,15.0,-0.2765,8.0,-0.10919619047619049,44.0,-0.053588636351457136
2025-11-14 00:00:00,0.19611428571428574,14,0.17192,5.0,0.11603636363636363,11.0,0.16135688311688312,30.0,0.16271999994576
2025-11-14 04:00:00,0.19980909090909088,11,-0.06480000000000004,3.0,-0.278625,8.0,-0.04787196969696972,22.0,-0.01024999999534092
2025-11-14 08:00:00,0.17044444444444445,9,0.5442142857142857,7.0,0.09237000000000001,10.0,0.26900957671957676,26.0,0.24104615375344376
2025-11-14 12:00:00,0.18078181818181818,22,0.18488333333333337,6.0,0.12040000000000001,17.0,0.16202171717171718,45.0,0.1585177777425516
2025-11-14 16:00:00,0.25333636363636364,33,0.25885714285714284,14.0,0.09356923076923077,13.0,0.2019209124209124,60.0,0.22000833329666525
2025-11-14 20:00:00,0.218275,8,-0.05608333333333332,6.0,-0.2725111111111111,9.0,-0.03677314814814814,23.0,-0.045343478241155005
2025-11-15 00:00:00,0.2819285714285714,7,0.0,0.0,0.0,0.0,0.09397619047619048,7.0,0.2819285710258163
2025-11-15 04:00:00,0.08911818181818183,11,-0.5859,1.0,0.09698333333333335,6.0,-0.1332661616161616,18.0,0.05423888885875618
2025-11-15 08:00:00,0.2797368421052631,19,-0.04910000000000003,2.0,0.34985,4.0,0.19349561403508772,25.0,0.2646479998941408
2025-11-15 12:00:00,0.1376037037037037,27,0.7547200000000001,5.0,0.39244999999999997,4.0,0.4282579012345679,36.0,0.25163055548565816
2025-11-15 16:00:00,0.4303388888888889,18,0.381375,4.0,-0.0772,1.0,0.24483796296296292,23.0,0.3997565215653232
2025-11-15 20:00:00,0.37510666666666664,15,-0.042100000000000026,2.0,-0.15942499999999998,4.0,0.05786055555555555,21.0,0.23355714274592515
2025-11-16 00:00:00,0.3863625,8,0.65125,2.0,0.0,0.0,0.34587083333333335,10.0,0.43933999956065994
2025-11-16 04:00:00,0.5615000000000001,2,0.5106,1.0,0.6091666666666667,3.0,0.5604222222222224,6.0,0.5768499990385835
2025-11-16 08:00:00,0.2925333333333333,9,0.55945,2.0,0.09296666666666666,3.0,0.31498333333333334,14.0,0.2878999997943571
2025-11-16 12:00:00,0.3145631578947368,19,0.521,2.0,0.4906,4.0,0.44205438596491226,25.0,0.3592439998563024
2025-11-16 16:00:00,0.1330875,24,0.75385,2.0,0.28929999999999995,3.0,0.3920791666666667,29.0,0.19205862062342802
2025-11-16 20:00:00,0.13020571428571429,35,0.61475,2.0,0.0,1.0,0.24831857142857142,38.0,0.15228157890729432
2025-11-17 00:00:00,0.43593000000000004,10,-0.00905000000000003,4.0,0.3129,13.0,0.24659333333333336,27.0,0.31077037025527027
2025-11-17 04:00:00,-0.3684,3,-0.2023,1.0,-0.17024545454545456,11.0,-0.2469818181818182,15.0,-0.21201333319199112
2025-11-17 08:00:00,0.1921388888888889,18,0.4640666666666666,6.0,0.5006857142857143,7.0,0.38563042328042324,31.0,0.3144419353824381
2025-11-17 12:00:00,0.12344285714285716,28,0.16531666666666664,12.0,0.42623,10.0,0.23832984126984127,50.0,0.19404999996119002
2025-11-17 16:00:00,0.15896875,16,-0.1906,9.0,0.07445,6.0,0.014272916666666668,31.0,0.04112258063189594
2025-11-17 20:00:00,0.30343333333333333,21,-0.0020499999999999963,12.0,-0.0684,6.0,0.07766111111111111,39.0,0.15223333329429914
2025-11-18 00:00:00,0.020310000000000005,10,0.36755,2.0,0.34314999999999996,10.0,0.24366999999999997,22.0,0.1986227271824442
2025-11-18 04:00:00,-0.19107500000000002,8,-0.3919,2.0,0.04695999999999999,10.0,-0.17867166666666667,20.0,-0.09213999995393002
2025-11-18 08:00:00,0.34137,10,-0.4404,2.0,0.06798181818181818,11.0,-0.010349393939393941,23.0,0.14263913037276557
